series,date,sector,value
abs,2015-01-01,p0,282255.0
abs,2015-01-01,p1,21691.0
abs,2015-01-01,p1.1,13669.0
abs,2015-01-01,p1.1.1,993.0
abs,2015-01-01,p1.1.2,7278.0
abs,2015-01-01,p1.1.7,5398.0
abs,2015-01-01,p1.2,3035.0
abs,2015-01-01,p1.3,1962.0
abs,2015-01-01,p1.4,3025.0
abs,2015-01-01,p1.4.1,2042.0
abs,2015-01-01,p1.4.2,983.0
abs,2015-01-01,p2,26879.0
abs,2015-01-01,p2.1,12650.0
abs,2015-01-01,p2.2,12408.0
abs,2015-01-01,p2.3,1821.0
abs,2015-01-01,p3,62333.0
abs,2015-01-01,p3.1,6884.0
abs,2015-01-01,p3.1.1,2156.0
abs,2015-01-01,p3.1.2,3163.0
abs,2015-01-01,p3.1.3,877.0
abs,2015-01-01,p3.1.4,688.0
abs,2015-01-01,p3.2,1124.0
abs,2015-01-01,p3.2.1,972.0
abs,2015-01-01,p3.2.2,152.0
abs,2015-01-01,p3.3,3336.0
abs,2015-01-01,p3.3.1,1526.0
abs,2015-01-01,p3.3.2,939.0
abs,2015-01-01,p3.3.3,871.0
abs,2015-01-01,p3.4,18730.0
abs,2015-01-01,p3.4.1,8561.0
abs,2015-01-01,p3.4.2,6927.0
abs,2015-01-01,p3.4.3,1177.0
abs,2015-01-01,p3.4.4,2065.0
abs,2015-01-01,p3.5,7280.0
abs,2015-01-01,p3.5.1,2251.0
abs,2015-01-01,p3.5.2,1571.0
abs,2015-01-01,p3.5.3,3458.0
abs,2015-01-01,p3.6,18350.0
abs,2015-01-01,p3.6.1,2656.0
abs,2015-01-01,p3.6.2,1307.0
abs,2015-01-01,p3.6.3,1273.0
abs,2015-01-01,p3.6.4,12203.0
abs,2015-01-01,p3.6.5,911.0
abs,2015-01-01,p3.7,6628.0
abs,2015-01-01,p3.7.1,4815.0
abs,2015-01-01,p3.7.2,995.0
abs,2015-01-01,p3.7.3,818.0
abs,2015-01-01,p4,13728.0
abs,2015-01-01,p4.1,7544.0
abs,2015-01-01,p4.1.1,3917.0
abs,2015-01-01,p4.1.2,3627.0
abs,2015-01-01,p4.2,3786.0
abs,2015-01-01,p4.3,2399.0
abs,2015-01-01,p5,154469.0
abs,2015-01-01,p5.1,32864.0
abs,2015-01-01,p5.1.1,6205.0
abs,2015-01-01,p5.1.2,1427.0
abs,2015-01-01,p5.1.3,10183.0
abs,2015-01-01,p5.1.4,15049.0
abs,2015-01-01,p5.2,52090.0
abs,2015-01-01,p5.2.1,43343.0
abs,2015-01-01,p5.2.1.1,18372.0
abs,2015-01-01,p5.2.1.2,19644.0
abs,2015-01-01,p5.2.1.3,5327.0
abs,2015-01-01,p5.2.2,6894.0
abs,2015-01-01,p5.2.3,1853.0
abs,2015-01-01,p5.3,32251.0
abs,2015-01-01,p5.3.1,14867.0
abs,2015-01-01,p5.3.2,4874.0
abs,2015-01-01,p5.3.3,4286.0
abs,2015-01-01,p5.3.4,8224.0
abs,2015-01-01,p5.4,14084.0
abs,2015-01-01,p5.4.1,1906.0
abs,2015-01-01,p5.4.2,2144.0
abs,2015-01-01,p5.4.6,10034.0
abs,2015-01-01,p5.5,23181.0
abs,2015-01-01,p6,3154.0
abs,2015-04-01,p0,288975.0
abs,2015-04-01,p1,24001.0
abs,2015-04-01,p1.1,15926.0
abs,2015-04-01,p1.1.1,620.0
abs,2015-04-01,p1.1.2,9548.0
abs,2015-04-01,p1.1.7,5758.0
abs,2015-04-01,p1.2,3039.0
abs,2015-04-01,p1.3,2287.0
abs,2015-04-01,p1.4,2750.0
abs,2015-04-01,p1.4.1,1741.0
abs,2015-04-01,p1.4.2,1009.0
abs,2015-04-01,p2,25729.0
abs,2015-04-01,p2.1,11811.0
abs,2015-04-01,p2.2,12130.0
abs,2015-04-01,p2.3,1788.0
abs,2015-04-01,p3,65695.0
abs,2015-04-01,p3.1,8827.0
abs,2015-04-01,p3.1.1,3329.0
abs,2015-04-01,p3.1.2,3339.0
abs,2015-04-01,p3.1.3,1111.0
abs,2015-04-01,p3.1.4,1048.0
abs,2015-04-01,p3.2,1348.0
abs,2015-04-01,p3.2.1,1156.0
abs,2015-04-01,p3.2.2,192.0
abs,2015-04-01,p3.3,3448.0
abs,2015-04-01,p3.3.1,1581.0
abs,2015-04-01,p3.3.2,1020.0
abs,2015-04-01,p3.3.3,847.0
abs,2015-04-01,p3.4,18880.0
abs,2015-04-01,p3.4.1,8597.0
abs,2015-04-01,p3.4.2,6682.0
abs,2015-04-01,p3.4.3,1552.0
abs,2015-04-01,p3.4.4,2049.0
abs,2015-04-01,p3.5,8575.0
abs,2015-04-01,p3.5.1,2772.0
abs,2015-04-01,p3.5.2,1984.0
abs,2015-04-01,p3.5.3,3819.0
abs,2015-04-01,p3.6,16519.0
abs,2015-04-01,p3.6.1,1952.0
abs,2015-04-01,p3.6.2,1288.0
abs,2015-04-01,p3.6.3,1507.0
abs,2015-04-01,p3.6.4,10584.0
abs,2015-04-01,p3.6.5,1188.0
abs,2015-04-01,p3.7,8095.0
abs,2015-04-01,p3.7.1,6248.0
abs,2015-04-01,p3.7.2,1047.0
abs,2015-04-01,p3.7.3,800.0
abs,2015-04-01,p4,12927.0
abs,2015-04-01,p4.1,7078.0
abs,2015-04-01,p4.1.1,3491.0
abs,2015-04-01,p4.1.2,3587.0
abs,2015-04-01,p4.2,3545.0
abs,2015-04-01,p4.3,2303.0
abs,2015-04-01,p5,156945.0
abs,2015-04-01,p5.1,33777.0
abs,2015-04-01,p5.1.1,6541.0
abs,2015-04-01,p5.1.2,1443.0
abs,2015-04-01,p5.1.3,10250.0
abs,2015-04-01,p5.1.4,15543.0
abs,2015-04-01,p5.2,52775.0
abs,2015-04-01,p5.2.1,43963.0
abs,2015-04-01,p5.2.1.1,20111.0
abs,2015-04-01,p5.2.1.2,18596.0
abs,2015-04-01,p5.2.1.3,5256.0
abs,2015-04-01,p5.2.2,6876.0
abs,2015-04-01,p5.2.3,1936.0
abs,2015-04-01,p5.3,32076.0
abs,2015-04-01,p5.3.1,14914.0
abs,2015-04-01,p5.3.2,4372.0
abs,2015-04-01,p5.3.3,4348.0
abs,2015-04-01,p5.3.4,8442.0
abs,2015-04-01,p5.4,14376.0
abs,2015-04-01,p5.4.1,2061.0
abs,2015-04-01,p5.4.2,2262.0
abs,2015-04-01,p5.4.6,10053.0
abs,2015-04-01,p5.5,23940.0
abs,2015-04-01,p6,3678.0
abs,2015-07-01,p0,297965.0
abs,2015-07-01,p1,27685.0
abs,2015-07-01,p1.1,18317.0
abs,2015-07-01,p1.1.1,818.0
abs,2015-07-01,p1.1.2,11125.0
abs,2015-07-01,p1.1.7,6374.0
abs,2015-07-01,p1.2,3342.0
abs,2015-07-01,p1.3,2499.0
abs,2015-07-01,p1.4,3528.0
abs,2015-07-01,p1.4.1,2384.0
abs,2015-07-01,p1.4.2,1144.0
abs,2015-07-01,p2,24260.0
abs,2015-07-01,p2.1,10487.0
abs,2015-07-01,p2.2,11938.0
abs,2015-07-01,p2.3,1836.0
abs,2015-07-01,p3,65851.0
abs,2015-07-01,p3.1,8619.0
abs,2015-07-01,p3.1.1,3190.0
abs,2015-07-01,p3.1.2,3400.0
abs,2015-07-01,p3.1.3,1063.0
abs,2015-07-01,p3.1.4,966.0
abs,2015-07-01,p3.2,1234.0
abs,2015-07-01,p3.2.1,1083.0
abs,2015-07-01,p3.2.2,151.0
abs,2015-07-01,p3.3,3531.0
abs,2015-07-01,p3.3.1,1691.0
abs,2015-07-01,p3.3.2,1057.0
abs,2015-07-01,p3.3.3,783.0
abs,2015-07-01,p3.4,20072.0
abs,2015-07-01,p3.4.1,8253.0
abs,2015-07-01,p3.4.2,7288.0
abs,2015-07-01,p3.4.3,1818.0
abs,2015-07-01,p3.4.4,2713.0
abs,2015-07-01,p3.5,8048.0
abs,2015-07-01,p3.5.1,2733.0
abs,2015-07-01,p3.5.2,1957.0
abs,2015-07-01,p3.5.3,3358.0
abs,2015-07-01,p3.6,17076.0
abs,2015-07-01,p3.6.1,1937.0
abs,2015-07-01,p3.6.2,1381.0
abs,2015-07-01,p3.6.3,1114.0
abs,2015-07-01,p3.6.4,11488.0
abs,2015-07-01,p3.6.5,1156.0
abs,2015-07-01,p3.7,7269.0
abs,2015-07-01,p3.7.1,5317.0
abs,2015-07-01,p3.7.2,903.0
abs,2015-07-01,p3.7.3,1049.0
abs,2015-07-01,p4,14332.0
abs,2015-07-01,p4.1,7727.0
abs,2015-07-01,p4.1.1,3812.0
abs,2015-07-01,p4.1.2,3915.0
abs,2015-07-01,p4.2,4226.0
abs,2015-07-01,p4.3,2380.0
abs,2015-07-01,p5,162177.0
abs,2015-07-01,p5.1,34618.0
abs,2015-07-01,p5.1.1,6543.0
abs,2015-07-01,p5.1.2,1514.0
abs,2015-07-01,p5.1.3,10567.0
abs,2015-07-01,p5.1.4,15994.0
abs,2015-07-01,p5.2,56038.0
abs,2015-07-01,p5.2.1,47041.0
abs,2015-07-01,p5.2.1.1,21642.0
abs,2015-07-01,p5.2.1.2,18930.0
abs,2015-07-01,p5.2.1.3,6469.0
abs,2015-07-01,p5.2.2,6967.0
abs,2015-07-01,p5.2.3,2030.0
abs,2015-07-01,p5.3,32045.0
abs,2015-07-01,p5.3.1,14962.0
abs,2015-07-01,p5.3.2,4322.0
abs,2015-07-01,p5.3.3,4453.0
abs,2015-07-01,p5.3.4,8308.0
abs,2015-07-01,p5.4,14571.0
abs,2015-07-01,p5.4.1,2026.0
abs,2015-07-01,p5.4.2,2410.0
abs,2015-07-01,p5.4.6,10135.0
abs,2015-07-01,p5.5,24906.0
abs,2015-07-01,p6,3660.0
abs,2015-10-01,p0,307745.0
abs,2015-10-01,p1,24161.0
abs,2015-10-01,p1.1,15941.0
abs,2015-10-01,p1.1.1,917.0
abs,2015-10-01,p1.1.2,9902.0
abs,2015-10-01,p1.1.7,5122.0
abs,2015-10-01,p1.2,3278.0
abs,2015-10-01,p1.3,2062.0
abs,2015-10-01,p1.4,2879.0
abs,2015-10-01,p1.4.1,1841.0
abs,2015-10-01,p1.4.2,1038.0
abs,2015-10-01,p2,26191.0
abs,2015-10-01,p2.1,11578.0
abs,2015-10-01,p2.2,12643.0
abs,2015-10-01,p2.3,1970.0
abs,2015-10-01,p3,68500.0
abs,2015-10-01,p3.1,8408.0
abs,2015-10-01,p3.1.1,3038.0
abs,2015-10-01,p3.1.2,3526.0
abs,2015-10-01,p3.1.3,1101.0
abs,2015-10-01,p3.1.4,743.0
abs,2015-10-01,p3.2,1217.0
abs,2015-10-01,p3.2.1,1085.0
abs,2015-10-01,p3.2.2,132.0
abs,2015-10-01,p3.3,3542.0
abs,2015-10-01,p3.3.1,1673.0
abs,2015-10-01,p3.3.2,879.0
abs,2015-10-01,p3.3.3,990.0
abs,2015-10-01,p3.4,20622.0
abs,2015-10-01,p3.4.1,8929.0
abs,2015-10-01,p3.4.2,7674.0
abs,2015-10-01,p3.4.3,1867.0
abs,2015-10-01,p3.4.4,2152.0
abs,2015-10-01,p3.5,7668.0
abs,2015-10-01,p3.5.1,2565.0
abs,2015-10-01,p3.5.2,1799.0
abs,2015-10-01,p3.5.3,3304.0
abs,2015-10-01,p3.6,18297.0
abs,2015-10-01,p3.6.1,1748.0
abs,2015-10-01,p3.6.2,1411.0
abs,2015-10-01,p3.6.3,1399.0
abs,2015-10-01,p3.6.4,12423.0
abs,2015-10-01,p3.6.5,1316.0
abs,2015-10-01,p3.7,8745.0
abs,2015-10-01,p3.7.1,6687.0
abs,2015-10-01,p3.7.2,982.0
abs,2015-10-01,p3.7.3,1076.0
abs,2015-10-01,p4,14395.0
abs,2015-10-01,p4.1,8259.0
abs,2015-10-01,p4.1.1,4027.0
abs,2015-10-01,p4.1.2,4232.0
abs,2015-10-01,p4.2,3817.0
abs,2015-10-01,p4.3,2320.0
abs,2015-10-01,p5,170292.0
abs,2015-10-01,p5.1,34812.0
abs,2015-10-01,p5.1.1,6485.0
abs,2015-10-01,p5.1.2,1552.0
abs,2015-10-01,p5.1.3,11057.0
abs,2015-10-01,p5.1.4,15718.0
abs,2015-10-01,p5.2,59338.0
abs,2015-10-01,p5.2.1,49675.0
abs,2015-10-01,p5.2.1.1,22057.0
abs,2015-10-01,p5.2.1.2,21385.0
abs,2015-10-01,p5.2.1.3,6233.0
abs,2015-10-01,p5.2.2,7615.0
abs,2015-10-01,p5.2.3,2048.0
abs,2015-10-01,p5.3,33692.0
abs,2015-10-01,p5.3.1,15275.0
abs,2015-10-01,p5.3.2,5048.0
abs,2015-10-01,p5.3.3,4474.0
abs,2015-10-01,p5.3.4,8895.0
abs,2015-10-01,p5.4,14693.0
abs,2015-10-01,p5.4.1,2034.0
abs,2015-10-01,p5.4.2,2418.0
abs,2015-10-01,p5.4.6,10241.0
